3,Two people laugh.	#nn
9,The man is playing a game on a lawn	dGvvdn>dn
9,A man with a shirt is holding a football	dG>dnvvdn
9,A man is removing some food from a box	dGvvdn>dn
9,There is no person setting fire to the cameras	Evdavn>dn
9,A crowd of people is far from the water	dn>nvu>dn
9,Noodles are being boiled in water by a woman	nvvv>n>dG
9,A person is combing the fur of a cat	davvda>dn
9,There aren't many people in the ice skating park	ECan>dnvn
9,One man is descending a cliff with a rope	#Gvvdn>dn
9,A woman is riding a scooter towards the water	dGvvdnndn
9,A dog is caught mid air with a ball	davuun>dn
9,A man is attentively taking pictures of a lake	dGvAvn>dn
9,People are walking through a crowd in the street	nvv>dn>dn
9,There is no young child splashing in the water	Evdanv>dn
9,A woman is removing eggs from a frying pan	dGvvn>dvn
9,There is no woman putting meat in a pan	EvdGvn>dn
9,A young, topless woman is covered in paint	da_nGvv>n
9,Someone is being boiled with okra in a pot	pvvv>n>dn
9,A man is riding a horse in the desert	dGvvdn>dn
9,A man is cleaning the edge of a bowl	dGvvdn>dn
9,Somebody is leaping in the air on a board	Pvv>dn>dn
9,The man is gracefully singing and playing the guitar	dGvAv+vdn
9,A group of racing dogs are nosing a muzzle	dn>vnvvdn
9,There is no milk being drunk by a cat	Evdnvn>dn
9,A young girl is jumping into a still lake	daGvv>dan
9,A woman is collecting tap water in a mug	dGvvnn>dn
9,People are walking through a street which is crowded	nvv>dnpvv
9,A man and a woman are not shaking hands	dG+dGvnvn
9,A walker is in a hat store for men	duv>dnnnG
9,There is no famous singer dancing on the ceiling	Evduuv>dv
9,A white bird is landing swiftly in the water	danvvA>dn
9,The white bird is landing swiftly in the water	danvvA>dn
9,The man is riding a horse by a stream	dGvvdn>dn
9,The snowboarder is jumping off a snow covered hill	davvndnvn
9,The black dog is not running through the grass	daavnv>dn
9,Some bamboo is being eaten by a panda bear	dnvvn>dnu
9,A woman is slicing a pepper which is green	dGvvdnpva
9,The woman is not poking holes in the potato	dGvnvn>dn
9,The woman is not stirring meat in a bowl	dGvnvn>dn
9,A woman is standing with a pair of dogs	dGvv>dn>n
9,Two men are racing in a tire rolling competition	#Gvv>duvn
9,A group of explorers are walking through the grass	dn>uvv>dn
9,A baby is splashing inside a blue paddling pool	davvndavn
9,A man is playing a keyboard in a park	dGvvdn>dn
9,A light brown dog is sprinting in the water	dnaavv>dn
9,A man is sitting and tables a comfortable discussion	dGvv+udan
9,The woman is squeezing juice out of a lemon	dGvvnn>dn
9,A woman and three men are denying a photo	dG+#Gvvdn
9,A white racing vehicle is driving through a puddle	davnvv>dn
9,A paper plate is being cut by the man	dnuvvn>dG
9,The woman with a black hat is wearing sunglasses	dG>danvvn
9,Two men are riding a horse on the shore	#Gvvdn>dn
9,A lion's tail is being pulled by a monkey	duuvvv>dn
9,A black man is break dancing on the pavement	daGvnv>dn
9,Four people are sitting on a low cement ledge	#nvv>daan
9,The black bird is sitting in a leafless tree	danvv>dan
9,A boy is running away from the fishing line	dGvvn>dvn
9,A white race car is driving through a puddle	dannvv>dn
9,A man is putting garlic on some bread slices	dGvvn>duu
9,A man with no shirt is holding a football	dG>dnvvdn
9,A couple of boys are playing a video game	dn>Gvvdan
9,The children of a family are playing and waiting	dn>dAvv+v
9,A light brown dog is running up a street	dnaavv>dn
9,A cat is stuck on a moving ceiling fan	dnvu>dvvn
9,The dog is knocking a boy into the water	davvdG>dn
9,A woman is cracking an egg into a bowl	dGvvdu>dn
9,A woman is pouring eggs into a frying pan	dGvvn>dvn
9,The motocross rider is wearing blue and black pants	dunvva+au
9,A woman is pouring eggs into a frying pan	dGvvn>dvn
9,A man is wiping the edge of a bowl	dGvvdn>dn
9,Three boys are walking on rocks along a river	#Gvv>andn
9,Two dogs are leaping through snowy grass and rocks	#nvv>an+a
9,A young boy is jumping into a still lake	daGvv>dan
9,A man is cutting a boot with a sword	dGvvdu>dn
9,The cyclist is performing a trick in the air	dnvvdn>dn
9,An old woman is shaking hands with a man	dnGvvn>dG
9,A woman is preparing an egg in a skillet	dGvvdu>dn
9,A soccer player is being tackled by his opponent	danvvv>pu
9,A large white crane is flying near the water	dnanvv>dn
9,A boy is whacking a man with a sword	dGvvdG>dn
9,The man is pouring oil on a few tomatoes	dGvvn>dan
9,A man is pushing the buttons of a microwave	dGvvdu>du
9,The black dog is walking through the tall grass	daavv>dan
9,The woman with a knife is slicing a pepper	dG>dnvvdn
9,A group of people is equipped with protective gear	dn>nvv>nn
9,A group of scouts are hiking through the grass	dn>uvv>dn
9,A man is fixing a silencer to a gun	dGvvdu>dn
9,Two women are wearing bikinis on the sandy beach	#Gvvn>dan
9,A person is doing a trick on a snowboard	davvdn>dn
9,One small child is drinking water from the cup	#anvvn>dn
9,The puppy hates when I slam the door shut.	dnuqyudnu
9,The cleaning staff appreciates our picking up our messes.	dvuunv>nu
9,The firm has successfully defended cases in North Carolina.	duuAvu>PP
10,A boy rides a horse down a dusty country road.	dGudnnduun
10,A person is riding a horse down a dirt trail.	davvdnndan
10,A woman in a striped shirt climbs up a mountain.	dG>dvnu>dn
10,A guitarist plays on stage with green lights behind him.	dun>n>annp
10,The young gymnast's supple body soars above the balance beam.	dauunundan
10,Three men are working construction on top of a building.	#Gvvn>n>dv
10,A woman in black and white is on a bicycle.	dG>a+av>dn
10,Teenage girls are gathered near a wall in a city.	nGvv>dn>dn
10,A man with dead chickens and baskets of chicken eggs.	dG>nn+u>nn
10,A man cutting a cake while two little girls watch.	dGvdn>#aGu
10,A person in a canoe is rafting in wild waters.	da>dnvv>un
10,A group of Middle Eastern people walking through the snow.	dn>nnnv>dn
10,People at a club talking and listening to the band.	n>duv+v>dn
10,A man wears a feathered hat and several cross pendants.	dGudvn+nuu
10,A bagpipe street performer in front of a store window.	dunu>n>dnn
10,A man plays an instrument on the sidewalk for tips.	dGndn>dnnu
10,Six people stand at the railing at the El Tambor.	#nn>dv>dPP
10,People sit outside a tea house on a nice day.	nundun>dan
10,A boy slides down a snowy hill in an innertube.	dGundan>dn
10,A person on a blue scooter waits at a crosswalk.	da>danu>dn
10,A man sits on a blue scooter in the street.	dGn>dan>dn
10,Indian girl with her mom praying or performing a ritual	PG>puvcvdn
10,A woman prays while a young girl lights a fire	dGu>daGndn
10,People outside sitting on the grass under cherry blossom trees.	nnv>dn>uuu
10,A man with no shirt is climbing a rock ledge.	dG>dnvvdan
10,A soccer game underway with a kid on the field.	danu>dn>dn
10,Man and woman sitting and talking near a small waterfall.	G+Gv+v>dan
10,A group of hikers are climbing up a snowy mountain.	dn>uvv>dan
10,A group of people are hiking up an icy hillside.	dn>nvv>dan
10,A group of musicians surround a singer wearing all black.	dn>nuduvda
10,Three people watch a woman dressed in all black act.	#nudGv>dan
10,A large group of people stand outside of a church.	dnn>nnn>dn
10,Two women are standing with ski poles in deep snow.	#Gvv>an>un
10,The girl with the red bike is wearing red pants.	dG>danvvau
10,A crowd of people views newspaper covers in Washington D.C.	dn>nunu>PP
10,A soccer game underway with a kid on the field.	danu>dn>dn
10,Two oriental people are seated a table at a restaurant.	#nnvvdn>dn
10,A girl is eating with her friends at a restaurant.	dGvv>pn>dn
10,Three females are jumping while reaching up into the air.	#uvv>v>>dn
10,Three girls jumping in front of a house's flower garden.	#Gv>n>dunu
10,The two church officials wear black robes and purple hats.	d#nuuau+an
10,Two Orthodox priests stand on the steps outside a church.	#Pun>dnndn
10,Men standing around a cement truck on a construction site.	Gvndaa>dnu
10,A couple of people are sitting on a big staircase.	dn>nvv>dan
10,Two women in black jackets reading a magazine and smiling.	#G>anvdn+v
10,People gathered in a circle, some holding musical instruments.	nv>dn_dvan
10,A young kid playing the goalie in a hockey rink.	danvdu>dnu
10,Woman in a white shirt and blue shorts playing tennis.	G>dan+anvn
10,A woman in a black dress walking by the water.	dG>danv>dn
10,A group of South African runners pose at the Paralympics.	dn>Pnuu>dn
10,A man yields a slow sign at a docking area.	dGudnn>dvn
10,A view of the Manhattan skyline from a nearby street.	du>dPu>dan
10,A man is playing guitar and singing into a microphone.	dGvvn+v>dn
10,Five older gentlemen are shooting pool in a white room.	#nuvvn>dan
10,Men and women on bikes stop to look at something.	G+G>nu>v>v
10,A man skateboarding outside balancing his skateboard on a beam.	dGvnvpn>dn
10,A man is standing in the doorway of a building.	dGvv>dn>dv
10,A young girl holds her hair as the wind blows.	daGupnddan
10,A man on a phone stands before a seated man.	dG>dnnudvG
10,Man jumping on another during a game in the grass.	Gv>n>dn>dn
10,A man in yellow is leaping toward men in blue.	dG>avvnG>a
10,Two women wrestle to the ground while a judge watches.	#Gu>dn>duu
10,A man waits at a crosswalk holding a motorbike helmet.	dGu>dnvdnn
10,A little boy and a little girl playing together outside.	daG+daGvnn
10,A man on a street corner works on a drawing.	dG>dnnv>dv
10,An Asian man watching someone grill food on a barbecue.	dnGvpnn>dn
10,A man holding a bottle is standing over a grill.	dGvdnvv>dn
10,A boy walks across a rope structure on a playground.	dGu>dnn>dn
10,People are walking along a street under a large billboard.	nvvndn>dnu
10,Two boxers are fighting, one is punching the other.	#nvv_#vvda
10,Two men are duking it out in a boxing ring.	#Gvvrn>dvn
10,Five people taking part in a discussion on a stage.	#nvu>dn>dn
10,A man in a black shirt is playing golf outside.	dG>danvvnn
10,A man and women in white shirts make sporadic movements.	dG+G>anvuu
10,Two men in black jackets are standing near a fire.	#G>anvv>dn
10,A person is riding a horse down a dirt trail.	davvdnndan
10,Onlookers clapping as a man dances on a gymnasium floor.	uvddGu>dan
10,A woman sporting a freshly baked pie on her head.	dGvdAvu>pn
10,The three men in black are standing in a row.	d#G>avv>dn
10,Three construction workers working on the interior of a building.	#nnv>dn>dv
10,A man in a green shirt inside a large building.	dG>danndnv
10,Two men are leaning on the rail near the water.	#Gvv>dn>dn
10,A group of men in white uniforms are waving flags.	dn>G>anvvn
10,Teenage girls are gathered near a wall in a city.	nGvv>dn>dn
10,Two adults and a child wait to cross a street.	#n+dnu>udn
10,A young man doing bicycle tricks in an urban area.	daGvnn>dan
10,Two adults walking in the street in a suburban area	#nv>dn>dan
10,People sit in chairs at a park with a dog.	nu>n>dn>da
10,Five people taking part in a discussion on a stage.	#nvu>dn>dn
10,People dine outdoors at a lodge on a snowy mountain.	nun>dn>dan
10,Skipping gets me (and my rat tail) to work Faster!	nvyuyuu>vP
10,A young girl skips in the middle of a crowd.	daGu>dn>dn
10,Someone is laying in front of the TV eating food.	pvv>n>dnvn
10,A television with a picture of a girl on it.	dn>dn>dG>r
10,An Oriental traveler awaits his turn at the currency exchange.	dnuupu>duu
10,A dog surrounded by trees runs to catch a Frisbee.	dav>uu>udP
10,Two dogs play with each other on a wood floor.	#nu>da>dan
10,A woman in a black dress walking by the water.	dG>danv>dn
10,A Quattro crane is operating during the train station construction.	dPnvv>dnun
10,A child is playing in with paint in the kitchen.	dnvv>>n>dn
10,A man on a street corner works on a drawing.	dG>dnnv>dv
10,A girl in a white shirt jumping in a yard.	dG>danv>dn
10,Six people stand at the railing at the El Tambor.	#nn>dv>dPP
10,An ice cream truck driver stares out the truck window.	dnuauundan
10,A girl in a black jacket talking on a cellphone.	dG>danv>dn
10,A beige dog runs through the shrubbery toward the camera.	duau>dundn
10,A homeless man pushes an overfilled plastic blue shopping cart.	duGudvuavu
10,A man pushes a shopping cart full of aluminum cans.	dGudvuu>uv
10,People sit in chairs at a park with a dog.	nu>n>dn>da
10,The girl in the red shirt smiles on the swing.	dG>danu>dv
10,On horseback a man attempts to rope a young bull.	>ndGu>ndan
10,A cowboy is roping a steer while riding a horse.	dnvvdu>vdn
10,An elderly woman in a pink dress carrying a magazine.	dAG>danvdn
10,Man in light shirt and blue jeans walking by graffiti.	G>nn+anv>u
10,A person in a canoe is rafting in wild waters.	da>dnvv>un
10,A guy is riding and has on an interesting helmet.	dnvv+u>dvn
10,A picture of people riding bicycles on a cobble street.	dn>nvn>dan
10,A jewish gathering of people such as dinner or prayer.	dnv>nudacu
10,A man with long hair getting stopped by security guards.	dG>anvv>ua
10,The small child is leaning back in a child swing.	danvvn>dnv
10,A black dog catches a red and blue tennis ball.	daanda+ann
10,People gathered around an olive vendor at a farmers market.	nvnduu>dan
10,Two babies are sitting on the floor facing each other.	#nvv>dnvda
10,A crowd of people views newspaper covers in Washington D.C.	dn>nunu>PP
10,A small group of people are visiting each other outside.	dan>nvvdan
10,A woman is throwing a javelin on a pink track.	dGvvdu>dan
10,A man on a street corner works on a drawing.	dG>dnnv>dv
10,A small group of people are visiting each other outside.	dan>nvvdan
10,People are walking down a street near a subway opening.	nvvndn>dnv
10,A waterskier high in the air above the green water.	dun>dnndan
10,Two men are duking it out in a boxing ring.	#Gvvrn>dvn
10,Man in black baseball cap talking to two other men.	G>aanv>#aG
10,A baseball player swings at the ball as onlookers watch.	danv>dnduu
10,A couple walking on a sidewalk along a strip mall.	dnv>dnnduu
10,Woman in a white shirt and blue shorts playing tennis.	G>dan+anvn
10,A person standing on a pillar taking a group photo.	dav>dnvdnn
10,A dark brown dog is running along a fence outside.	daaavvndnn
10,Three cowboys on horses work together to rope a calf.	#n>nvn>ndn
10,A rodeo is going on with cowboys riding and roping.	dnvv>>nv+v
10,An adult Asian male instructs a group of Asian children.	dnnGudn>nn
10,A man walks down an alley between cream colored houses.	dGunduuuvu
10,Dark-skinned native men play chess while seated on the ground.	PnGun>v>dn
10,Several men are watching and enjoying a game of chess.	nGvv+vdn>n
10,Wolf-like dog chasing white wiffle ball through a green field.	Pavaun>dan
10,A multicolor dog chasing after a ball across the grass.	duav>dn>dn
10,A woman is knitting while sitting down at a table.	dGvv>vn>dn
10,A man sleeps on a foldout chair on a sidewalk.	dGu>dun>dn
10,A young lady holding a golf club above her head.	danvdnunpn
10,People gathered in a circle, some holding musical instruments.	nv>dn_dvan
10,A man waits at a crosswalk holding a motorbike helmet.	dGu>dnvdnn
10,Two children are riding through snow on a sled-like frame.	#nvv>n>duu
10,A young man carefully prepares to take a pool shot	daGAu>vdnn
10,A person bundled and head covered laying on the sidewalk.	dav+nvv>dn
10,A man and a woman are dancing in the street.	dG+dGvv>dn
10,Several people are eating a meal outdoors at a restaurant.	nnvvdan>dn
10,A girl stands on a tree lined road during sunset.	dGn>dnvn>n
10,Brown ramp structure with a person on ski's in midair.	ann>da>u>u
10,A person jumps a bicycle off a large dirt ramp.	dandnndnan
10,A motor biker gets massive air off a dirt jump	dunvunndan
10,A woman and a child sitting in a huge strawberry.	dG+dnv>dan
10,A young man carefully prepares to take a pool shot	daGAu>vdnn
10,Two children are riding through snow on a sled-like frame.	#nvv>n>duu
10,A man on a half pipe doing a skateboard trick.	dG>danvdnn
10,A large white dog and a smaller brown dog fight.	dnaa+duaau
10,A white dog opens its mouth near a smaller dog.	daaarn>dua
10,A white dog plays with a brown dog on carpet.	daan>daa>n
10,A blond man looking rather lost at a music festival.	daGvuu>dnn
10,A girl stands on a tree lined road during sunset.	dGn>dnvn>n
10,A seductive bartender mixing a large drink at a nightclub.	duuvdnn>du
10,A dog's head over the backs of some white animals.	dun>dn>dan
10,A little girl hugs a performer in a Stitch costume.	daGudu>dPn
10,People jumping in sacks in a grassy area with trees.	nv>u>dan>u
10,Men standing around a cement truck on a construction site.	Gvndaa>dnu
10,A skateboarder grinds along a pipe beneath a fire escape.	danndnudnu
10,Young girl wearing pink parka surrounded by abstract looking art.	aGvauv>uvu
10,The hockey players and referee are preparing for a face-off.	dnn+uvvndn
10,Hockey players waiting for the referee to drop the puck.	nnvndu>udn
10,A bicycle racer runs up a ramp with his bike.	dnuu>dn>pn
10,A blond man looking rather lost at a music festival.	daGvuu>dnn
10,Players are getting ready for a game of laser tag.	nvvandn>uu
10,A man on a street corner works on a drawing.	dG>dnnv>dv
10,A group of dancing swimmers doing one of their routines.	dn>vnv#>nu
10,Man riding skateboard down the road in a wooded area.	Gvnndn>dvn
10,A man with no shirt is climbing a rock ledge.	dG>dnvvdan
10,A man skateboarding against a construction wall reading No Bikes.	dGvndnnvdn
10,A young man is skateboarding on a cement block wall.	daGvv>daun
10,An african american man is playing a red electric guitar.	dnnGvvdaan
10,The kayaker braces himself as he goes down the river.	duuudpnndn
10,A man rows a blue kayak through white water rapids.	dGndau>anu
10,A man in a blue canoe battling through rough waves	dG>danv>un
10,A person on a blue scooter waits at a crosswalk.	da>danu>dn
10,A man sits on a blue scooter in the street.	dGn>dan>dn
10,A bagpipe street performer in front of a store window.	dunu>n>dnn
10,A man plays an instrument on the sidewalk for tips.	dGndn>dnnu
10,Young boy in blue shirt skipping by chain link fence	aG>ann>uun
10,A guitarist plays on stage with green lights behind him.	dun>n>annp
10,A child in a ninja outfit does a jumping kick.	dn>dunudvu
10,Guy doing his dubbing and the director drinking his beverage	nvpv+duvpu
10,Men standing around a cement truck on a construction site.	Gvndaa>dnu
10,The girl is wearing silver shoes and a pink jacket.	dGvvnu+dan
10,A black dog catches a red and blue tennis ball.	daanda+ann
10,A man in an orange shirt observing an orange product.	dG>danvdan
10,Two men are riding a black horse on the shore	#Gvvdan>dn
10,Someone is stirring a pot of soup with a ladle	pvvdn>n>dn
10,A lot of kids are in an ice skating park	dn>nv>dnvn
10,A black bird is taking flight from a dead tree	danvvn>dnn
10,A child in orange is playing outdoors with a snowball	dn>avvn>dn
10,Three boys are carefully walking on rocks along a river	#GvAv>andn
10,There is no white race car driving through a puddle	Evdannv>dn
10,One brown and black dog is running through the leaves	#a+aavv>dn
10,A brown and white dog is playing on the lawn	da+aavv>dn
10,Five people are standing in the grass with no dogs	#nvv>dn>dn
10,An Asian man is dancing and three kids are looking	dnGvv+#nvv
10,A woman is bowling two eggs to a break dancer 	dGvv#n>dnu
10,There is no light brown dog running up a street	Evdnaav>dn
10,Skewers are being placed onto a rack by a woman	nvvvndn>dG
10,The woman is not slicing an onion with a knife	dGvnvdn>dn
10,A man is falling off a surfboard in the water	dGvvndn>dn
10,The boy and girl are not playing on a playground	dG+Gvnv>dn
10,The soccer player is kicking the ball between somebody's legs	danvvdnuun
10,A big city is begging for men and money holders	danvvnG+uu
10,The chef is carefully drying the oil from the pan	dnvAvdn>dn
10,One person is slicing a clove of garlic into pieces	#avvdu>n>u
10,The kids are not chasing each other in the sand	dnvnvda>dn
10,Three people are driving four wheel ATVs in a street	#nvv#uP>dn
10,Three boys are carefully walking on rocks along a river	#GvAv>andn
10,Two women are naked and are standing on the sand	#Gvv+vv>dn
10,A dog on a leash is walking in the water	da>dnvv>dn
10,A father is launching the daughter in a swimming pool	dnvvdu>dvn
10,The chef is carefully drying the oil from the pan	dnvAvdn>dn
10,A girl has black and orange patches on the cheeks	dGua+au>dn
10,A yellow flower is being clung to by a bee	danvvn>>dn
10,A pitcher is being filled with water by a boy	dnvvv>n>dG
10,Butter is being chopped into a container by a man	nvvv>dn>dG
10,There is no woman preparing an egg in a skillet	EvdGvdu>dn
10,A girl with a bikini is playing in the sand	dG>dnvv>dn
10,No girl with a bikini is playing in the dunes	dG>dnvv>dn
10,A man is walking along a track through a wilderness	dGvvndn>dn
10,One small child is greedily drinking water from the cup	#anvAvn>dn
10,A person is shirtless and is putting down the beer	davu+vvndn
10,A nearby throng of people are kissing two by two	dau>nvv#>#
10,A person is riding a bike along a muddy trail	davvdnndan
10,The man is walking along a track through the wilderness	dGvvndn>dn
10,There is no man putting some cheese on a pizza	EvdGvdn>dn
10,There is no man fitting a silencer to a pistol	EvdGvdu>du
10,There are no women wearing bikinis on the sandy beach	EvdGvn>dan
10,A woman is cooking a pork chop which is breaded	dGvvdanpvv
10,A person is not doing a trick on a slide	davnvdn>dn
10,A boy in blue are sliding down a green slide	dG>avvndan
10,There is no motorcyclist riding a motorbike along a roadway	Evdnvdnndn
10,The kitten isn't eagerly drinking some milk from the bowl	dnCAvdn>dn
10,A red car is on the shirt of a man	danv>dn>dG
10,A brown and black dog is running through the leaves	da+aavv>dn
10,Two kids are pushing an inflatable crocodile in a pool	#nvvdan>dn
10,A girl in a strange outfit is riding the bike	dG>danvvdn
10,A woman is scrubbing a zucchini with a vegetable brush	dGvvdn>dan
10,An ice skating rink placed outdoors is full of people	dnvuvnvu>n
10,The large brown dog is running outside in the dirt	dnaavvn>da
10,A person who is practicing snowboarding jumps into the air	daqvvvn>dn
10,A woman is putting a baby in a waste bin	dGvvda>duu
10,The man is walking along a path through the wilderness	dGvvndn>dn
10,The little boy is riding a bicycle in a race	daGvvdn>dn
10,The boy and girl are playing on the outdoor gym	dG+Gvv>dan
10,A person is kicking a soccer ball between their feet	davvdanunu
10,The chef is carefully pouring some oil into a pan	dnvAvdn>dn
10,The person is slicing a clove of garlic into pieces	davvdu>n>u
10,Three people are driving four wheel ATVs in a field	#nvv#uP>dn
10,A group of rollerbladers is lining up on the street	dn>uvv>>dn
10,Five people are standing in the grass with three dogs	#nvv>dn>#n
10,A father is launching the daughter in a swimming pool	dnvvdu>dvn
10,A girl with a bikini is playing in the dunes	dG>dnvv>dn
10,A man is walking along a path through a wilderness	dGvvndn>dn
10,A person is riding a bike along a muddy trail	davvdnndan
10,A dog is near the red ball in the air	dav>dan>dn
10,A man is riding a water toy in the water	dGvvdnn>dn
10,The kitten is eagerly drinking some milk from the bowl	dnvAvdn>dn
10,A lady is mixing a meat mixture in a bowl	dnvvdnu>dn
10,A person is cutting garlic into pieces with a knife	davvn>u>dn
10,Three Asian kids are dancing and a man is looking	#nnvv+dGvv
10,The group of people is sitting in a dim room	dn>nvv>dan
10,A woman and three men are posing for a photo	dG+#Gvvndn
10,The boy and girl are playing on the outdoor gym	dG+Gvv>dan
10,Five children are standing in front of a wooden hut	#nvv>n>dan
10,The mother dog disciplined her very naughty litter of puppies.	dnavpAuu>n
10,I admire how you work fulltime and attend graduate school.	yuqmvu+uun
10,Mr. Jim Johnson is a lawyer that graduated on 8/23/1998.	PnPvdudv>u
11,A girl in a white shirt, walking beside her bike.	dG>dan_vnpn
11,A football tackle in progress with a crowd in the background.	dnu>u>dn>dn
11,A football player in red being tackled by opponents in white.	dnn>avv>u>a
11,Two men are preparing dinner over a fire with tin cans.	#Gvva>dn>nv
11,A man and a woman can prepare meals at camp together.	dG+dGvua>nn
11,Two women enjoying drinks and each other's company at a bar.	#Gvn+duu>du
11,Several children in white shirts run their fingers through a railing.	nn>anunn>dv
11,Two men are talking on their cellphones while in an alleyway.	#Gvv>nu>>dn
11,Three male construction workers on a roof working in the sun.	#Gnn>dnv>dn
11,Surfer in black wetsuit falling off his board into the water.	n>anvnpn>dn
11,Blond bicyclist wearing a helmet and pink goggles, looks down.	anvdn+au_vn
11,A small boy, fully dressed, playing in the sand.	daG_Av_v>dn
11,Woman standing in front of group with black folders in hand.	Gv>n>n>au>u
11,A group of individuals performed in front of a seated crowd.	dn>uv>n>dvn
11,Adult male in red hoodie lecturing a group of children outside.	nG>auvdn>nn
11,A person is half submerged in water in their yellow kayak.	davav>n>nau
11,A woman has positioned her kayak nose down in the water.	dGuvpuun>dn
11,A man sitting in between two roads on a black crate.	dGv>u#n>dan
11,A man in a white shirt is sitting on a crate.	dG>danvv>dn
11,A black dog in a red collar splashing through the water.	daa>danv>dn
11,An Asian person is sitting in the street on a motorbike.	dnavv>dn>dn
11,Several people are huddled around a table in an Asian country.	nnvvndn>dnu
11,A man in green and white is riding on a bicycle.	dG>a+avv>dn
11,Soccer players are shaking each others hands on the soccer field.	anvvdnn>dan
11,An Afican American woman standing behind two small African American children.	dPnGvn#annn
11,An African woman stands with her two children under a boulder.	dnGn>p#n>dn
11,The child in raingear is dragging a broom through a puddle.	dn>uvvdn>dn
11,Two elderly men standing in front of a projector pull-down screen.	#AGv>n>duun
11,Two men in a classroom in front of a white screen.	#G>dn>n>dan
11,Two women standing in the snow talking and observing the surroundings	#Gv>dnv+vdv
11,The adults and children are gathered near an outdoor seating arrangement.	dn+nvv>davu
11,Three puppies are lying on a couch beside a baby bottle.	#nvv>dnndan
11,Three puppies on a couch next to a bottle of milk.	#n>dnn>dn>n
11,A man on top of the roof looks over the ledge.	dG>n>dnv>dn
11,Soccer players are shaking each others hands on the soccer field.	anvvdnn>dan
11,Asian Girl in red hoodie sitting at table eating with friends.	nG>auv>nv>n
11,The three girls are jumping and dancing on the colorful lawn.	d#Gvv+v>dan
11,A man grabs the spokes of his bicycle while he jumps.	dGudu>pn>pn
11,A couple watching a man sleep on a piece of art.	dnvdGu>dn>u
11,Two priests stand on some stairs in front of a building.	#un>dn>n>dv
11,Construction workers are standing around the back of a dump truck.	nnvvndn>dua
11,A group of people are walking down a sidewalk overlooking water.	dn>nvvndnvn
11,A group of people standing on a sidewalk and the street.	dn>nv>dn+dn
11,A group of runners and walkers posing together for a picture.	dn>u+uvnndn
11,Two travelers on a train or bus reading a book together.	#u>dncnvdnn
11,The gentleman wearing a black bandanna is playing a five-string bass.	dnvdanvvdvu
11,A group of people are sitting in a circle enjoying themselves.	dn>nvv>dnvn
11,People gathered in a room to talk about their favorite tunes.	nv>dn>uXnuu
11,Two men in tan coats exchange looks on the city sidewalk.	#G>anuv>dnn
11,A woman on a lounge chair is lying on the beach.	dG>dunvv>dn
11,A lady sits on a rock in front of small waterfall.	dnn>da>n>an
11,A group of people are sitting together at a picnic table.	dn>nvvn>dan
11,5 Elder group of man playing snooker on a pool table.	uPn>Gvu>dnn
11,A group of standing moped riders look off into the distance.	dn>vvnvn>dn
11,A black dog holds a small white dumbbell in its mouth.	daaudaau>rn
11,Two travelers on a train or bus reading a book together.	#u>dncnvdnn
11,Five young girls with backpacks sitting on a green park bench.	#aG>nv>dann
11,A man is sitting down and drawing on a public street.	dGvvn+v>dnn
11,A racing car goes through a dirt course while fans watch.	dvnn>dau>nu
11,A bearded man in Islamic garb walks down a city sidewalk.	dvG>Puundnn
11,African people walk by a teal colored building in the desert.	nnu>dnvv>dn
11,A woman in a black and white dress conducting a choir.	dG>da+anvdn
11,A choir is practicing in a room with a wood floor.	dnvv>dn>dan
11,Two boys stand at a blue table fill out a form.	#Gn>danundn
11,The little child in the blue cap is amidst the pigeons.	dan>danvudn
11,A woman sitting at a table looking at a laptop computer.	dGv>dnv>dnn
11,A worker is looking at her laptop sitting at her desk.	dnvv>pnv>pn
11,A man sitting on a running horse on a dirt track.	dGv>dvn>dan
11,A picture of some people and a baby in a store.	dn>dn+da>dn
11,A crowd of runners get bananas from a very long table.	dn>uvn>dAan
11,A child in a red sweatshirt and hat holding a toy.	dn>dan+nvdn
11,A cleaning woman in a bright uniform is pushing a cart.	dvG>dunvvdu
11,Man walking in front of Queen and Portland Lofts and Condominiums.	Gv>n>P+Pn+u
11,A man in a black and white dress is playing guitar.	dG>da+anvvn
11,Two men speaking while looking over the railings over a river.	#Gv>v>dv>dn
11,Five young girls with backpacks sitting on a green park bench.	#aG>nv>dann
11,A group of people is parading with red and yellow flags.	dn>nvv>a+an
11,A man grilling outside with a few people enjoying his meat.	dGvn>danvpn
11,A musician jamming out on his white guitar at a concert.	dnvn>pan>dn
11,A man in a green hat is helping a hurt person.	dG>danvvdaa
11,A person is doing tricks on a bicycle in a city.	davvn>dn>dn
11,A young skateboarder is grinding on a rusty rail at night.	daavv>dun>n
11,A bull charging at a bull rider in a live rodeo.	dnv>dnn>dan
11,Three helmet-wearing roller-blading children are next to a skating young adult.	#vvnvn>dvan
11,Some people in a park with a dog and folding chairs.	dn>dn>da+vn
11,Person wearing a helmet on a four wheeled bike in air	avdn>d#vn>n
11,A racer on an ATV leaves the ground in a jump.	du>dPndn>dn
11,Many people are sitting at wooden tables overlooking snow covered mountains.	anvv>auvnvn
11,A man is breakdancing in front of a crowd of people.	dGvv>n>dn>n
11,Several people are sitting or standing in a public transportation vehicle	nnvvcv>dnun
11,A large dog and a small one walk with their toys.	dna+da#u>nn
11,A man wearing a striped pink shirt is taking a picture.	dGvdvanvvdn
11,Two brown dogs are playing with each other in the snow.	#anvv>da>dn
